Year,Australia,Austria,Costa Rica,Czech Republic,Estonia,Germany,Iceland,Latvia,Lithuania,Mexico,Netherlands,Slovenia,Spain,United States
2010,22031750,8363404,4577371,10474410,1331475,81776930,318041,2097555,3097282,114092961,16615394,2048583,46576897,309327143
2011,22340024,8391643,4633086,10496088,1327439,80274983,319014,2059709,3028115,115695468,16693074,2052843,46742697,311583481
2012,22733465,8429991,4688003,10510785,1322696,80425823,320716,2034319,2987773,117274156,16754962,2057159,46773055,313877662
2013,23128129,8479823,4742111,10514272,1317997,80645605,323764,2012647,2957689,118827158,16804432,2059953,46620045,316059947
2014,23475686,8546356,4795390,10525347,1314545,80982500,327386,1993782,2932367,120355137,16865008,2061980,46480882,318386329
2015,23815995,8642699,4847805,10546059,1315407,81686611,330815,1977527,2904910,121858251,16939923,2063531,46444832,320738994
2016,24190907,8736668,4899336,10566332,1315790,82348669,335439,1959537,2868231,123333379,17030314,2065042,46484062,323071755
2017,24601860,8797566,4949955,10594438,1317384,82657002,343400,1942248,2828403,124777326,17131296,2066388,46593236,325122128
2018,24982688,8840521,4999443,10629928,1321977,82905782,352721,1927174,2801543,126190782,17231624,2073894,46797754,326838199
2019,25365745,8879920,5047561,10671870,1326855,83092962,360563,1913822,2794137,127575529,17344874,2088385,47134837,328329953
2020,25693267,8916864,5094114,10697858,1329479,83160871,366463,1900449,2794885,128932753,17441500,2102419,47363419,331501080
Average,23850865.09,8638677.727,4843106.818,10566126.09,1321913.091,81814339.82,336211.0909,1983524.455,2908666.818,121719354.5,16986581.91,2067288.818,46728337.82,320439697.4
